,sentence,#aspect terms,aspect_terms,at_polarity
0,"यह सबसे बड़ा place है जो most joints से अलग adequate seating वाले features रखता है, और एक bar जो mention को deserve करता है।",3,"['seating', 'bar', 'place']","['positive', 'positive', 'positive']"
1,इस restaurant को pass करने के कुछ समय बाद मैंने finally अंदर जाकर और dinner करने का decide किया।,1,['dinner'],['neutral']
2,"अगर मैं यहाँ के people को rate कर सकता तो यह place charts के बाहर होता - दुर्भाग्य से - , क्षमा करें - pizza, NYC में बहुत अच्छा नहीं।",2,"['people', 'pizza']","['positive', 'negative']"
3,Rice to fish ration अच्छा था - उन्होंने rice को overpack करने का try नहीं किया।,2,"['Rice to fish ration', 'rice']","['positive', 'positive']"
4,"मेरे husband ने कहा कि portions बहुत small थे, लेकिन अगर मेरे main course का portion खाने में अच्छा होता तो मेरे लिए ठीक होता।",3,"['portions', 'portion', 'main course']","['negative', 'positive', 'negative']"
5,मैंने a lotus leaf wrapped rice के लिए एक cart attendant से पूछा है और उसने nice reply दिया और बस चली गई।,3,"['cart attendant', 'lotus leaf wrapped rice', 'rice']","['negative', 'neutral', 'neutral']"
6,इसकी तुलना में jalapeno की heat अधिक होती है और यह indeed बहुत अच्छा होता।,1,['jalapeno'],['positive']
7,Restaurant थोड़ा noisy है लेकिन यह कुछ ऐसा है जिसे overlooked करते हुए एक बार बैठकर meal को enjoy करते है।,1,['meal'],['positive']
8,"यदि आप visit कर रहे हैं, तो आप ambiance और Time Sq... के इस fact को enjoy करेंगे।",1,['ambiance'],['positive']
9,Staff अविश्वसनीय रूप से helpful और attentive है।,1,['Staff'],['positive']
10,One less manhattanite the better.,0,[],[]
11,"मुझे seriously doubt है कि मैं कभी भी Jimmy's Bronx में dine, या कभी उस matter लिए फिर Jimmy's Uptown जाऊंगा।",0,[],[]
12,यह dates के लिए एक go-to के साथ ही town guests के लिए भी entertaining है।,1,['entertaining'],['positive']
13,"Jalapeno-lime olive oil से fluke sashimi बूंद-बूंद गिरती है, fruit of the oil अच्छी तरह से fish के sweetness को highlight करता है।",4,"['fluke sashimi', 'Jalapeno-lime olive oil', 'fruit of the oil', 'fish']","['positive', 'positive', 'positive', 'positive']"
14,"मेरी पसंद: - Scallion Pancake (vegetable juice के साथ fried, बहुत special और tasty) - Guizhou Chicken - Shredded Squid Family Style (मेरे खुद के favorites में से एक) - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (यह एक hardcore Sichuan food fans के लिए, मैं अपने American friends को recommend नहीं करूंगा, क्योंकि यह काफी spicy है।",7,"['Scallion Pancake', 'vegetable juice', 'Guizhou Chicken', 'Shredded Squid Family Style', 'Sichuan Spicy Soft Shell Crab', 'Shuizhu Fish', 'Sichuan food']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral']"
15,"कमाल का atmosphere, स्वादिष्ट अच्छी dishes और मित्र जैसी service.",3,"['atmosphere', 'dishes', 'service']","['positive', 'positive', 'positive']"
16,"Service थोड़ी slow है, लेकिन Napoli में बढ़ते हुए मेरे harkens आ जाते हैं, Italy जहां things जाती नहीं और जब आप dinner के लिए बैठते हैं तो table पूरी night आपकी होती है।",3,"['Service', 'dinner', 'table']","['negative', 'neutral', 'positive']"
17,"वो, editor या idea of romance को अगले table पर एक conversation में share करना चाहेंगे, जबकि 57वें traffic की तुलना में loude बोलने के लिए try कर रहें है।",0,[],[]
18,"शानदार food के साथ एक अच्छे bar, और ढेरों शानदार beer है।",3,"['bar', 'food', 'beer']","['positive', 'positive', 'positive']"
19,Ambience authentic और relaxing व हमेशा हमने attentive और prompt service पायी है।,2,"['Ambience', 'service']","['positive', 'positive']"
20,"इससे अच्छा है कि, वे जानते हैं कि French classics को Setak au Poivre और Onglet को कैसे बिना जलाए death तक इसे overcooking कर दिया जाए।",2,"['Setak au Poivre', 'Onglet']","['positive', 'positive']"
21,"हालांकि मैंने dinner के लिए night में 3 बजे Dinnerbroker के माध्यम से reservation किया था, हम सबसे अच्छे view के पास table पर seated थे!",3,"['table', 'reservation', 'seated']","['positive', 'positive', 'positive']"
22,आप fellas लोग कहते हैं कि यह town का best Taiwanese restaurant है।,0,[],[]
23,"Food delicious था (मेरे पास halibut special था, मेरे husband के पास steak था), और service उच्च कोटी का था।",4,"['Food', 'halibut special', 'steak', 'service']","['positive', 'positive', 'positive', 'positive']"
24,यही केवल एक place है जहां आप yummy authentic japanese comfort food खा सकते हैं।,1,['japanese comfort food'],['positive']
25,"बहुत बड़े और ताज़े pieces of sushi, और स्वादिष्ट!",1,['pieces of sushi'],['positive']
26,जबकि pasta भी यहाँ delicious है (New York pizza restaurants में यह दुर्लभ) है।,1,['pasta'],['positive']
27,"Ingredients taste को fresh करता है, crust पतली और crispy होती है, slice कम oily है, और यह कभी भी burnt नहीं होती जैसे कभी-कभी Joe's की होती है।",3,"['Ingredients', 'crust', 'slice']","['positive', 'positive', 'positive']"
28,"हमने menu के Thai section से कुछ beef और noodle soup dishes मंगवाए, लेकिन हमेंने ऐसा कुछ भी नहीं पाया जो Thai का हो।",3,"['beef', 'noodle soup dishes', 'menu']","['negative', 'negative', 'negative']"
29,Food प्रमाणिक था।,1,['Food'],['positive']
30,यह greenewich village में located है।,0,[],[]
31,वहां का food sastifying है।,1,['food'],['positive']
32,"Asian fusion के लिए, downtown के कई places city से आगे हैं।",0,[],[]
33,"Service poor थी, restaurant poorly lit किए गये थे, staff बहुत attentive नहीं थे और मैंने शायद ही Mcdonald's के ऐसे joint में खाया होगा।",2,"['Service', 'staff']","['negative', 'negative']"
34,New York में हमारा first time था और हमें एकNew York Bagel को आज़मा लिया था।,1,['New York Bagel'],['neutral']
35,Service कमाल की विनम्र  थी।,1,['Service'],['positive']
36,मैंने कुछ previews reviews पढ़े हैं - people या तो New Yorkers नहीं हैं या फिर ambience के लिए food को अधिक appreciate करते हैं।,2,"['ambience', 'food']","['neutral', 'neutral']"
37,"Toons को recently redone किया गया है, इसलिए यह अब एक बहुत ही attractive space है।",1,['space'],['positive']
38,"हम dinner के लिए एक impressive past से impress होने की expection रखे थे - लेकिन, यह बस PAST है!",1,['dinner'],['neutral']
39,"Menu Prix Fixe है, इसलिए कम से कम $60 per person spent करने के लिए तैयार रहें, लेकिन यह superb food के लिए Well worth है।",3,"['Menu', 'food', 'Prix Fixe']","['negative', 'positive', 'neutral']"
40,"जबकि नए restaurant में अभी भी उसी features के साथ classical furniture हैं जो Tiffin को इतना attractive बनाते हैं, menu को overhauled बनाया गया है।",2,"['classical furniture', 'menu']","['positive', 'negative']"
41,आपका money easily कहीं और better spent किया जा सकता है (कहीं भी)।,1,['money'],['neutral']
42,अपनी appetites को बढ़ाओ।,0,[],[]
43,"Seriously, यह place ass को kick करता है।",0,[],[]
44,"Food decent और अच्छा है, और ambience, अच्छी तरह से, opinion की बात है, कुछ इसे एक sweet thing मान सकते हैं, मैंने सोचा कि यह सिर्फ annoying था।",2,"['Food', 'ambience']","['neutral', 'conflict']"
45,"Leon एक East Village gem : casual लेकिन hip है, अच्छी तरह से तैयार basic French bistro fare, अच्छे specials, एक warm और lively atmosphere के साथ है।",3,"['specials', 'atmosphere', 'French bistro fare']","['positive', 'positive', 'positive']"
46,"Shockingly यहां एक group dinner देना आसान है: simple contract, केवल हम सभी 20 के group के लिए 2nd fl mezz की date hold करने के लिए deposit करें।",1,['group dinner'],['neutral']
47,Drinks के priced का बढ़ना।,2,"['Drinks', 'priced']","['negative', 'negative']"
48,Place के नीचे मुख्य downside में nazi जैसा दिखने वाला guy है जो लगातार noise level के बारे में complain करता है।,2,"['noise level', 'guy']","['negative', 'negative']"
49,जो मुझे पसंद नहीं था वो food कैसे order कर दिया गया था।,1,['food'],['negative']
50,"लेकिन WARNING: इस site का उपयोग करने वाले सभी घबराए, recommendations से घबराए हुए है।",0,[],[]
51,"क्षमा करें, मैं इसे और better rate नहीं कर सकता।",0,[],[]
52,"अधिक महत्वपूर्ण, food शानदार है।",1,['food'],['positive']
53,"अच्छे roofdeck, कुछ 30 का अच्छा group है, लेकिन कई music, quiet प्रकार के है।",2,"['roofdeck', 'music']","['positive', 'negative']"
54,"Food best से mediocre था, लेकिन यह horrible service थी जिसने मुझे कभी वापस ना जाने की vow दिलवायी।",2,"['Food', 'service']","['neutral', 'negative']"
55,बजाय मुझे एक ice cold beer का  order दिया जो मुझे indian के साथ काम करने देता है।,1,['beer'],['positive']
56,"वे कभी भी हमारे लिए complimentary noodles नहीं लाए,  बार-बार sugar लाने के requests को ignore कर दिया और हमारे dishes को table पर रख दिया।",3,"['noodles', 'sugar', 'dishes']","['negative', 'negative', 'negative']"
57,सबसे अच्छा Chicken Tikka Masala.,1,['Chicken Tikka Masala'],['positive']
58,"शानदार dumplings amid clean, chic decor के साथ परोसी गई।",2,"['dumplings', 'decor']","['positive', 'positive']"
59,"Corned beef और pastrami उनकी तुलना में शानदार, बहुत कम fatty है जो Times Square के आसपास के बड़े tourist places पर मिलते हैं।",2,"['Corned beef', 'pastrami']","['positive', 'positive']"
60,"इसके अलावा, hostess ने आज हमें thank कहने के लिए call किया और mention किया कि कैसे उसने hope की कि मेरी girlfriend ने अपने birthday को enjoy किया - unexpected, लेकिन वास्तव में above और beyond करने को बहुत कुछ...",1,['hostess'],['positive']
61,इस place की तलाश में आया क्योंकि मैंने good things सुनीं।,0,[],[]
62,मैं street पर रहता हूं यह place on है।,0,[],[]
63,यहाँ भी नकली fish tanks का...,1,['fish tanks'],['negative']
64,और आप prices को beat नहीं कर सकते।,1,['prices'],['positive']
65,NYC जाकर ऐसा लगा कि मैं original deli को आज़माना चाहता था।,0,[],[]
66,सबसे पहले Dal Bukhara का कमाल देखिये।,0,[],[]
67,"Soft bread में सबकुछ, soggy salad, और 50 minutes wait time, एक incredibly rude service के साथ औसत से कम food देने के लिए।",5,"['bread', 'salad', 'service', 'food', 'wait']","['negative', 'negative', 'negative', 'negative', 'negative']"
68,"(Food एक busboy, ना कि waiter द्वारा delivered किया गया था) हमें pasta के लिए कोई cheese offer नहीं किया गया था, हमारे water and wine glasses खाली रह गए हमारे meal, wine पर जब हमने 20$ खर्च किये।",8,"['Food', 'busboy', 'waiter', 'cheese', 'pasta', 'water and wine glasses', 'wine', 'meal']","['neutral', 'negative', 'negative', 'negative', 'negative', 'negative', 'neutral', 'neutral']"
69,मैं यहाँ defiantly वापस आऊँगा जैसा कि यह मेरा top choices है।,0,[],[]
70,हम में से एक को actually expresso पसंद आया - बस इतना ही है।,1,['expresso'],['positive']
71,हर कोई उसके choices से काफी happy था।,0,[],[]
72,"Food बस ठीक था, मैं कभी वापस नहीं जाऊंगा।",1,['Food'],['neutral']
73,मैं thai popcorn को recommend करता हूँ :),1,['thai popcorn'],['positive']
74,Tuna और wasabe potatoes उत्कृष्ट हैं।,2,"['Tuna', 'wasabe potatoes']","['positive', 'positive']"
75,केवल disappointment थी coat check girls को यह लगता नहीं था कि relatively non-busy night में एक customer (coat check girls के साथ) क्या कर रहा है।,2,"['coat check girls', 'coat check girls']","['negative', 'negative']"
76,उम्म्म्म...beer cold थी।,1,['beer'],['positive']
77,"एक ऐसा restaurant खोजना अच्छा है जहां owners के पास कुछ imagination हो और जिसे actually इस case में pulled it off, किया गया हो।",1,['owners'],['positive']
78,"जहां अन्य Chinatown restaurants में tanks के murky waters में अपने sad-looking marine life का एक lurking myriad को display किया है, Ping's के tanks में glass जैसे clear healthy-looking creatures जिनको अभी भी नहीं पता है कि वे किसी dim sum lover's के brunch का part बन जाएँगे।",4,"['tanks', 'tanks', 'dim sum', 'brunch']","['negative', 'positive', 'neutral', 'neutral']"
